Actor,Film,Year,Genre,BoxOffice in INR CRORE,IMDb
Shah Rukh Khan,Jawan,2023,Action,1160,7.8
Salman Khan,Bajrangi Bhaijaan,2015,Drama,923,8
Aamir Khan,Dangal,2016,Biography,2024,8.4
Ranbir Kapoor,Animal,2023,Drama,915,8.2
Ranveer Singh,Padmaavat,2018,Drama,585,7.1
Ayushmann Khurrana,Andhadhun,2018,Comedy,456,8.2
Rajkumar Rao,Stree,2018,Horror,180,7.6
Hrithik Roshan,War,2019,Action,471,6.9
Akshay Kumar,2.O,2018,Sci-Fi,745,6
Karthik Aryan,Bhool Bhulaiyaa 3,2024,Comedy,397,7.2
Varun Dhawan,Dilwale,2015,Romance,375,6.2
Vicky Kaushal,Chaava,2025,Period ,706,7.8
Amitabh Bachan,Kalki 2898 AD,2024,Sci-Fi,619,7.5
